"species","family","rec_gbif"
"Cyanerpes caeruleus","Thraupidae",200
"Progne chalybea","Hirundinidae",199
"Dacnis flaviventer","Thraupidae",199
"Furnarius minor","Furnariidae",199
"Celeus grammicus","Picidae",196
"Glaucis hirsutus","Trochilidae",195
"Chloroceryle inda","Alcedinidae",194
"Saltator maximus","Cardinalidae",193
"Cotinga maynana","Cotingidae",193
"Dendrexetastes rufigula","Furnariidae",192
"Myiozetetes granadensis","Tyrannidae",188
"Hypocnemis peruviana","Thamnophilidae",187
"Euphonia xanthogaster","Fringillidae",187
"Euphonia chrysopasta","Fringillidae",186
"Taraba major","Thamnophilidae",185
"Hirundo rustica","Hirundinidae",182
"Cercomacra cinerascens","Thamnophilidae",181
"Forpus xanthopterygius","Psittacidae",180
"Veniliornis passerinus","Picidae",179
"Anhinga anhinga","Anhingidae",178
"Attila bolivianus","Tyrannidae",177
"Opisthocomus hoazin","Opisthocomidae",175
"Tangara chilensis","Thraupidae",175
"Psarocolius decumanus","Icteridae",175
"Cairina moschata","Anatidae",175
"Camptostoma obsoletum","Tyrannidae",174
"Phaethornis bourcieri","Trochilidae",171
"Myiarchus tuberculifer","Tyrannidae",170
"Schiffornis major","Cotingidae",170
"Sporophila lineola","Thraupidae",167
"Falco rufigularis","Falconidae",166
"Bucco tamatia","Bucconidae",165
"Nyctibius grandis","Nyctibiidae",159
"Nycticorax nycticorax","Ardeidae",158
"Rostrhamus sociabilis","Accipitridae",156
"Euphonia rufiventris","Fringillidae",155
"Hypocnemis hypoxantha","Thamnophilidae",155
"Pteroglossus inscriptus","Ramphastidae",152
"Heliornis fulica","Heliornithidae",148
"Chloroceryle aenea","Alcedinidae",148
"Phaethornis ruber","Trochilidae",146
"Tapera naevia","Cuculidae",142
"Tyranneutes stolzmanni","Pipridae",141
"Florisuga mellivora","Trochilidae",141
"Todirostrum chrysocrotaphum","Tyrannidae",141
"Charadrius collaris","Charadriidae",140
"Rynchops niger","Laridae",137
"Ochthornis littoralis","Tyrannidae",137
"Phaethornis malaris","Trochilidae",136
"Pilherodius pileatus","Ardeidae",136
"Piaya minuta","Cuculidae",136
"Brotogeris cyanoptera","Psittacidae",135
"Tyrannopsis sulphurea","Tyrannidae",134
"Cissopis leverianus","Thraupidae",134
"Tityra semifasciata","Cotingidae",134
"Leptotila verreauxi","Columbidae",133
"Trogon collaris","Trogonidae",131
"Pyrocephalus rubinus","Tyrannidae",128
"Vanellus chilensis","Charadriidae",126
"Sicalis flaveola","Thraupidae",125
"Actitis macularius","Scolopacidae",125
"Molothrus bonariensis","Icteridae",125
"Leptodon cayanensis","Accipitridae",122
"Myrmoborus myotherinus","Thamnophilidae",120
"Tolmomyias poliocephalus","Tyrannidae",118
"Penelope jacquacu","Cracidae",117
"Coccyzus melacoryphus","Cuculidae",117
"Tityra inquisitor","Cotingidae",116
"Cyanocorax violaceus","Corvidae",115
"Amazona amazonica","Psittacidae",114
"Elanoides forficatus","Accipitridae",114
"Schistocichla leucostigma","Thamnophilidae",112
"Synallaxis albigularis","Furnariidae",112
"Certhiaxis mustelinus","Furnariidae",111
"Tinamus major","Tinamidae",111
"Xiphorhynchus obsoletus","Furnariidae",110
"Thamnophilus cryptoleucus","Thamnophilidae",108
"Picumnus castelnau","Picidae",108
"Attila cinnamomeus","Tyrannidae",107
"Galbula albirostris","Galbulidae",105
"Chiroxiphia pareola","Pipridae",104
"Myrmotherula axillaris","Thamnophilidae",104
"Crypturellus soui","Tinamidae",102
"Willisornis poecilinotus","Thamnophilidae",101
"Tinamus guttatus","Tinamidae",100
"Tangara schrankii","Thraupidae",100
"Sturnella militaris","Icteridae",99
"Pionopsitta barrabandi","Psittacidae",98
"Turdus hauxwelli","Turdidae",98
"Cnipodectes subbrunneus","Tyrannidae",97
"Myiozetetes luteiventris","Tyrannidae",97
"Myrmeciza fortis","Thamnophilidae",97
"Helicolestes hamatus","Accipitridae",95
"Percnostola rufifrons","Thamnophilidae",95
"Megascops watsonii","Strigidae",94
