"species","family","rec_gbif"
"Thamnophilus nigrocinereus","Thamnophilidae",4
"Inezia subflava","Tyrannidae",4
"Harpia harpyja","Accipitridae",4
"Elaenia frantzii","Tyrannidae",4
"Neocrex erythrops","Rallidae",4
"Calidris fuscicollis","Scolopacidae",4
"Synallaxis rutilans","Furnariidae",4
"Hylocharis sapphirina","Trochilidae",4
"Coeligena torquata","Trochilidae",3
"Eriocnemis vestita","Trochilidae",3
"Deroptyus accipitrinus","Psittacidae",3
"Setophaga ruticilla","Parulidae",3
"Cyanocompsa cyanoides","Cardinalidae",3
"Heterocercus flavivertex","Pipridae",3
NULL,"Trogonidae",3
"Hylopezus macularius","Grallariidae",3
"Tachyphonus rufus","Thraupidae",3
"Picumnus pumilus","Picidae",3
"Philydor erythrocercum","Furnariidae",3
"Caryothraustes canadensis","Cardinalidae",3
"Metallura tyrianthina","Trochilidae",3
"Patagioenas fasciata","Columbidae",3
"Micromonacha lanceolata","Bucconidae",3
"Calidris alba","Scolopacidae",3
"Brachygalba lugubris","Galbulidae",3
"Boissonneaua flavescens","Trochilidae",3
"Morphnus guianensis","Accipitridae",3
"Myiarchus cephalotes","Tyrannidae",3
"Aulacorhynchus prasinus","Ramphastidae",3
"Myrmotherula ambigua","Thamnophilidae",3
NULL,"Accipitridae",3
NULL,"Strigidae",3
"Eriocnemis mosquera","Trochilidae",3
"Elanus leucurus","Accipitridae",3
"Leucopternis albicollis","Accipitridae",2
NULL,"Turdidae",2
"Machaeropterus regulus","Pipridae",2
"Sclerurus obscurior","Furnariidae",2
"Pionopsitta pyrilia","Psittacidae",2
"Hylophilus flavipes","Vireonidae",2
"Hylophilus brunneiceps","Vireonidae",2
NULL,"Pipridae",2
"Schizoeaca fuliginosa","Furnariidae",2
"Microrhopias quixensis","Thamnophilidae",2
"Cotinga cotinga","Cotingidae",2
"Himantopus mexicanus","Recurvirostridae",2
"Buteo albicaudatus","Accipitridae",2
"Turdus leucomelas","Turdidae",2
"Burhinus bistriatus","Burhinidae",2
"Doryfera johannae","Trochilidae",2
"Oressochen jubatus","Anatidae",2
NULL,"Thraupidae",2
"Aulacorhynchus haematopygus","Ramphastidae",2
"Crax alector","Cracidae",2
"Hemitriccus margaritaceiventer","Tyrannidae",2
"Habia fuscicauda","Cardinalidae",2
"Aratinga pertinax","Psittacidae",2
"Gallus gallus","Phasianidae",2
"Notharchus macrorhynchos","Bucconidae",2
"Elaenia pelzelni","Tyrannidae",2
NULL,"Cardinalidae",2
NULL,"Cotingidae",2
"Ramphotrigon fuscicauda","Tyrannidae",2
"Jabiru mycteria","Ciconiidae",2
"Colaptes rubiginosus","Picidae",2
"Tinamus tao","Tinamidae",2
"Chaetura pelagica","Apodidae",1
NULL,"Columbidae",1
"Chaetura meridionalis","Apodidae",1
"Porzana albicollis","Rallidae",1
"Brotogeris jugularis","Psittacidae",1
"Sayornis nigricans","Tyrannidae",1
"Epinecrophylla ornata","Thamnophilidae",1
"Momotus aequatorialis","Momotidae",1
"Porzana carolina","Rallidae",1
"Terenura callinota","Thamnophilidae",1
"Rhytipterna immunda","Tyrannidae",1
"Tyto alba","Tytonidae",1
NULL,"Formicariidae",1
"Chrysolampis mosquitus","Trochilidae",1
"Pharomachrus antisianus","Trogonidae",1
NULL,"Vireonidae",1
"Vireo altiloquus","Vireonidae",1
"Chlorornis riefferii","Thraupidae",1
NULL,"Tinamidae",1
"Chaetocercus mulsant","Trochilidae",1
"Arremon taciturnus","Emberizidae",1
"Ardea herodias","Ardeidae",1
"Leucophaeus atricilla","Laridae",1
"Theristicus caudatus","Threskiornithidae",1
"Glaucidium hardyi","Strigidae",1
"Numenius phaeopus","Scolopacidae",1
"Phaethornis longuemareus","Trochilidae",1
"Xipholena punicea","Cotingidae",1
"Picumnus squamulatus","Picidae",1
"Sclerurus rufigularis","Furnariidae",1
"Columbina squammata","Columbidae",1
"Leucophaeus pipixcan","Laridae",1
"Quiscalus mexicanus","Icteridae",1
"Tangara cayana","Thraupidae",1
"Micrastur buckleyi","Falconidae",1
"Saucerottia hoffmanni","Trochilidae",1
"Discosura langsdorffi","Trochilidae",1
"Sicalis luteola","Thraupidae",1
"Touit huetii","Psittacidae",1
"Calochaetes coccineus","Thraupidae",1
"Parkesia noveboracensis","Parulidae",1
"Parkerthraustes humeralis","Cardinalidae",1
"Tringa semipalmata","Scolopacidae",1
"Amazonetta brasiliensis","Anatidae",1
"Falco deiroleucus","Falconidae",1
"Tachyphonus luctuosus","Thraupidae",1
"Hydropsalis maculicaudus","Caprimulgidae",1
"Ramphocelus dimidiatus","Thraupidae",1
"Ixobrychus exilis","Ardeidae",1
"Butorides virescens","Ardeidae",1
"Trogon violaceus","Trogonidae",1
"Dendrocygna viduata","Anatidae",1
"Chamaeza campanisona","Formicariidae",1
"Buteogallus meridionalis","Accipitridae",1
"Sturnella magna","Icteridae",1
"Poecilotriccus sylvia","Tyrannidae",1
"Polytmus guainumbi","Trochilidae",1
