"scientific","rec_gbif"
"Amazophrynella Fouquet, Recoder, Teixeira, Cassimiro, Amaro, Camacho, Damasceno, Carnaval, Moritz et al., 2012",1
"Eleutherodactylus acuminatus Shreve, 1935",1
"Dendropsophus miyatai (Vigle & Goberdhan-Vigle, 1990)",1
"Eleutherodactylus sulcatus (Cope, 1874)",1
"Hamptophryne Carvalho, 1954",1
"Hemiphractus bubalus (Jiménez de la Espada, 1870)",1
"Hyla acuminata Cope, 1862",1
"Dendrobates Wagler, 1830",1
"Colostethus kingsburyi (Boulenger, 1918)",1
"Hyla haraldschultzi Bokermann, 1962",1
"Hyla hobbsi Cochran & Goin, 1970",1
"Colostethus Cope, 1866",1
"Typhlonectes natans (Fischer, 1880)",1
"Chiasmocleis ventrimaculata (Andersson, 1945)",1
"Hyla leucophyllata sarayacuensis Shreve, 1935",1
"Hyla membranacea Andersson, 1945",1
"Hyla reticulata Jiménez de la Espada, 1870",1
"Ceratophrys cornuta (Linnaeus, 1758)",1
"Centrolenella ametarsia Flores, 1987",1
"Centrolene Jiménez de la Espada, 1872",1
"Hyloxalus faciopunctulatus (Rivero, 1991)",1
"Hypsiboas fasciatus (Günther, 1858)",1
"Callimedusa tomopterna (Cope, 1868)",1
"Bufo glaberrimus Günther, 1869",1
"Leptodactylus bolivianus Boulenger, 1898",1
"Leptodactylus Fitzinger, 1826",1
"Leptodactylus hylaedactylus (Cope, 1868)",1
"Leptodactylus mystaceus (Spix, 1824)",1
"Bolitoglossa adspersa (Peters, 1863)",1
"BOLD:AAW9345",1
"Leptodactylus riveroi Heyer & Pyburn, 1983",1
"Leptodactylus stenodema Jiménez de la Espada, 1875",1
"Mannophryne trinitatus (Garman, 1888)",1
"Osteocephalus buckleyi (Boulenger, 1882)",1
"Osteocephalus deridens Jungfer, Ron, Seipp & Almendáriz, 2000",1
"Osteocephalus heyeri Lynch, 2002",1
"Boana Gray, 1825",1
"Boana geographica (Spix, 1824)",1
"Osteocephalus yasuni Ron & Pramuk, 1999",1
"Phyllonastes Heyer, 1977",1
"Boana calcarata (Troschel, 1848)",1
"Pristimantis conspicillatus (Günther, 1858)",1
"Pristimantis croceoinguinis (Lynch, 1968)",1
"Pristimantis librarius (Flores & Vigle, 1994)",1
"Pristimantis vilarsi (Melin, 1941)",1
"Pristimantis w-nigrum (Boettger, 1892)",1
"Atelopus pulcher (Boulenger, 1882)",1
"Ranitomeya ventrimaculata (Shreve, 1935)",1
